host,passed,failed,compliance_percentage
apexdev,156,11,93.41
apexprod,153,14,91.62
apexqa,155,12,92.81
apextst,155,12,92.81
appworxprod,102,65,61.08
appworxtst,99,68,59.28
baucis,101,66,60.48
bswappsync1,138,29,82.63
bswcloud01,147,20,88.02
bswcloud02,146,21,87.43
cenbbdonordb,99,68,59.28
cenlabapp1,95,72,56.89
cenlabapp2,93,74,55.69
cenlabdb1,95,72,56.89
cenlabdb2,95,72,56.89
cenora1,103,64,61.68
cenrman,148,19,88.62
chaos,141,26,84.43
claimsxtenprd,95,72,56.89
claimsxtentst,93,74,55.69
clprod1,95,72,56.89
clprod2,95,72,56.89
cltest1,145,22,86.83
cltest2,144,23,86.23
drcenlabdb1,111,56,66.47
drlabdb1,90,77,53.89
drtst1,91,76,54.49
drtst2,90,77,53.89
drtstrpt1,96,71,57.49
drtstrpt2,96,71,57.49
eaedev,134,33,80.24
eaeprd,140,27,83.83
eaetst,140,27,83.83
easdev,140,27,83.83
easprd,135,32,80.84
eastst,133,34,79.64
ecpdrtst1,108,59,64.67
ecpdrtst2,107,60,64.07
ecpdrtst3,107,60,64.07
ecpdrtst4,107,60,64.07
ecpprd1,107,60,64.07
ecpprd10,107,60,64.07
ecpprd10-old,105,62,62.87
ecpprd11,107,60,64.07
ecpprd11-old,105,62,62.87
ecpprd12,107,60,64.07
ecpprd12-old,105,62,62.87
ecpprd14,107,60,64.07
ecpprd14-tmp,106,61,63.47
ecpprd15,107,60,64.07
ecpprd15-old,105,62,62.87
ecpprd16-tmp,106,61,63.47
ecpprd17,107,60,64.07
ecpprd17-old,105,62,62.87
ecpprd18,107,60,64.07
ecpprd19,107,60,64.07
ecpprd2,107,60,64.07
ecpprd20,107,60,64.07
ecpprd21,107,60,64.07
ecpprd3,107,60,64.07
ecpprd3-tmp,106,61,63.47
ecpprd4,107,60,64.07
ecpprd4-tmp,106,61,63.47
ecpprd5,107,60,64.07
ecpprd6,107,60,64.07
ecpprd6-tmp,106,61,63.47
ecpprd7,107,60,64.07
ecpprd7-old,105,62,62.87
ecpprd8,107,60,64.07
ecpprd8-old,105,62,62.87
ecpprd9,107,60,64.07
ecpprd9-old,105,62,62.87
ecptest1,103,64,61.68
ecptest2,103,64,61.68
edwdev,138,29,82.63
edwprd,98,69,58.68
edwtst,145,22,86.83
epic_nonprdvio1,92,75,55.09
epic_nonprdvio2,92,75,55.09
epiccog,89,78,53.29
epiccog-new,88,79,52.69
epicmirror,99,68,59.28
epicprd1,106,61,63.47
epicprd2,105,62,62.87
epicprddr1,109,58,65.27
epicprddr2,108,59,64.67
epicreport,97,70,58.08
epicrestore1,101,66,60.48
epicrestore2,103,64,61.68
epicrptdr,106,61,63.47
epicsup,89,78,53.29
epicsup-new,88,79,52.69
epictec,89,78,53.29
epictesthat1,136,31,81.44
epictesthat2,136,31,81.44
epictrain,97,70,58.08
epictrain-new,95,72,56.89
erwintest,151,16,90.42
gp3vio1,93,74,55.69
gp3vio2,93,74,55.69
gp4vio1,94,73,56.29
gp4vio2,94,73,56.29
gp5vio1,94,73,56.29
gp5vio2,94,73,56.29
gp6vio1,94,73,56.29
gp6vio2,94,73,56.29
gp7vio1,95,72,56.89
gp7vio2,95,72,56.89
gp8vio1,95,72,56.89
gp8vio2,95,72,56.89
hawkeyevio1,88,79,52.69
hawkeyevio2,88,79,52.69
idmdbdr,102,65,61.08
idmdbprod,102,65,61.08
labapp1,92,75,55.09
labapp2,92,75,55.09
labdb1,93,74,55.69
labdb2,94,73,56.29
labwl1,92,75,55.09
labwl2,91,76,54.49
lawdevapp,92,75,55.09
lawdevdb,91,76,54.49
lawdrdb1,91,76,54.49
lawprdapp1,90,77,53.89
lawprdapp2,59,108,35.33
lawprddb1,91,76,54.49
lawprddb2,59,108,35.33
lawtrainapp01,90,77,53.89
lawtraindb,91,76,54.49
lawtraindbdr,91,76,54.49
midas,93,74,55.69
mstrans02,99,68,59.28
ntxclnmnt,90,77,53.89
ntxcloudctl,151,16,90.42
ntxnim,101,66,60.48
nymphi,95,72,56.89
phoenixbuild,98,69,58.68
phoenixbuild_new,94,73,56.29
phoenixclnmnt,88,79,52.69
phoenixprdbld,89,78,53.29
phoenixprdbld-new,90,77,53.89
provationprod,151,16,90.42
provationtest,150,17,89.82
provdb1srv,148,19,88.62
provtestdb,145,22,86.83
safetracedb,100,67,59.88
spidermanvio1,94,73,56.29
spidermanvio2,94,73,56.29
svtrans02,99,68,59.28
tlabapp1,92,75,55.09
tlabapp2,93,74,55.69
tlabdb1,93,74,55.69
tlabdb2,94,73,56.29
tlabwl1,92,75,55.09
tlabwl2,94,73,56.29
utildrtst1,107,60,64.07
utildrtst2,107,60,64.07
utildrtst3,107,60,64.07
utildrtst4,106,61,63.47
utilprd1,107,60,64.07
utilprd10,107,60,64.07
utilprd2,107,60,64.07
utilprd3,107,60,64.07
utilprd4,105,62,62.87
utilprd5,105,62,62.87
utilprd6,105,62,62.87
utilprd7,107,60,64.07
utilprd8,105,62,62.87
utilprd9,107,60,64.07
utiltest1,103,64,61.68
utiltest2,103,64,61.68
