host,passed,failed,compliance_percentage
apexdev,156,11,93.41
apexprod,153,14,91.62
apexqa,155,12,92.81
apextst,155,12,92.81
appworxprod,102,65,61.08
appworxtst,99,68,59.28
baucis,101,66,60.48
bswappsync1,157,10,94.01
bswcloud01,147,20,88.02
bswcloud02,145,22,86.83
cenbbdonorapp,0,0,0.0
cenbbdonordb,99,68,59.28
cenbbdonordb,99,68,59.28
cenlabapp1,95,72,56.89
cenlabapp1,95,72,56.89
cenlabapp2,93,74,55.69
cenlabdb1,95,72,56.89
cenlabdb2,95,72,56.89
cenora1,103,64,61.68
cenrman,148,19,88.62
chaos,145,22,86.83
claimsxtenprd,95,72,56.89
clprod1,95,72,56.89
clprod2,95,72,56.89
cltest1,145,22,86.83
cltest2,144,23,86.23
cmparch,0,0,0.0
drcenlabdb1,111,56,66.47
drlabdb1,90,77,53.89
drlabdb1,90,77,53.89
drtst1,91,76,54.49
drtst2,90,77,53.89
eaedev,134,33,80.24
eaeprd,140,27,83.83
eaetst,140,27,83.83
easdev,140,27,83.83
easprd,135,32,80.84
eastst,133,34,79.64
ecpdrtst3,107,60,64.07
ecpprd1,107,60,64.07
ecpprd10,107,60,64.07
ecpprd11,107,60,64.07
ecpprd12,107,60,64.07
ecpprd14,0,0,0.0
ecpprd15,107,60,64.07
ecpprd16,107,60,64.07
ecpprd17,107,60,64.07
ecpprd18,0,0,0.0
ecpprd19,105,62,62.87
ecpprd2,0,0,0.0
ecpprd20,107,60,64.07
ecpprd21,105,62,62.87
ecpprd3,107,60,64.07
ecpprd4,107,60,64.07
ecpprd5,0,0,0.0
ecpprd6,0,0,0.0
ecpprd7,107,60,64.07
ecpprd8,107,60,64.07
ecpprd9,107,60,64.07
edwdev,138,29,82.63
edwprd,98,69,58.68
edwtst,148,19,88.62
empidbp,0,0,0.0
empidbt,0,0,0.0
epiccog,89,78,53.29
epicprd1,106,61,63.47
epicprd2,105,62,62.87
epicprddr1,109,58,65.27
epicprddr2,40,127,23.95
epicreport,97,70,58.08
epicrptdr,106,61,63.47
epicsup,89,78,53.29
epictec,89,78,53.29
epictesthat1,136,31,81.44
epictesthat2,136,31,81.44
epictrain,97,70,58.08
erwintest,151,16,90.42
gordius,124,43,74.25
hermes,0,0,0.0
idmdbdev,0,0,0.0
idmdbdr,102,65,61.08
idmdbprod,102,65,61.08
idmdbqa,0,0,0.0
labapp1,92,75,55.09
labapp2,92,75,55.09
labdb1,93,74,55.69
labdb2,94,73,56.29
labwl1,92,75,55.09
labwl2,91,76,54.49
lawdevapp,92,75,55.09
lawdevdb,0,0,0.0
lawdrdb1,91,76,54.49
lawprdapp1,90,77,53.89
lawprdapp2,59,108,35.33
lawprdapp2,59,108,35.33
lawprddb1,91,76,54.49
lawprddb1,91,76,54.49
lawprddb2,59,108,35.33
lawprddb2,59,108,35.33
lawtrainapp01,90,77,53.89
lawtraindbdr,91,76,54.49
lawtraindbdr,91,76,54.49
midas,93,74,55.69
mstrans02,99,68,59.28
ntxclnmnt,90,77,53.89
ntxcloudctl,151,16,90.42
ntxnim,101,66,60.48
nymphi,95,72,56.89
phoenixbuild,95,72,56.89
phoenixbuild-new,0,0,0.0
phoenixclnmnt,88,79,52.69
provationprod,151,16,90.42
provationtest,150,17,89.82
provdb1srv,148,19,88.62
provtestdb,145,22,86.83
safetracedb,100,67,59.88
svempi,0,0,0.0
svtrans02,99,68,59.28
tlabapp1,92,75,55.09
tlabapp2,93,74,55.69
tlabdb1,93,74,55.69
tlabdb2,94,73,56.29
tlabwl1,92,75,55.09
tlabwl2,94,73,56.29
utilprd1,107,60,64.07
utilprd10,105,62,62.87
utilprd2,107,60,64.07
utilprd3,107,60,64.07
utilprd4,105,62,62.87
utilprd4,105,62,62.87
utilprd5,105,62,62.87
utilprd5,105,62,62.87
utilprd6,105,62,62.87
utilprd6,105,62,62.87
utilprd7,0,0,0.0
utilprd8,105,62,62.87
utilprd9,0,0,0.0
utiltest2,103,64,61.68
